ID,Type,SKU,Name,Published,Is featured?,Short description,Description,In stock?,Stock,Low stock amount,Sale price,Regular price,Categories,Tags,Images,Brands,Meta: _headstart_post,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: post_views_count
100,simple,SKU57459,Smart Camera Plus,1,0,,High-quality smart camera plus designed for optimal performance and durability.,1,133,20,,1422.96,Accessories,,https://images.pexels.com/photos/1029757/pexels-photo-1029757.jpeg,BrightLife,1,,,,,,,,,411
101,simple,SKU64040,Premium Headphones System,1,0,,High-quality premium headphones system designed for optimal performance and durability.,1,171,20,1572.65,1957.99,Sweater > Hoodie,Bass,https://images.pexels.com/photos/1232459/pexels-photo-1232459.jpeg,KitchenAid,1,Capacity,"1.5L, 2L, 500ml, 330 ml",1,1,,,,,769
102,grouped,SKU90839,Smart Smartwatch Plus,1,0,,High-quality smart smartwatch plus designed for optimal performance and durability.,1,173,7,,484.6,Automotive,"Wireless, USB",https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,LG,1,Color,"White, Pink, Red, Purple",1,0,Material,"Plastic, Silk, Leather, Glass",1,0,744
103,simple,SKU52812,Portable Headphones Max,1,0,,High-quality portable headphones max designed for optimal performance and durability.,1,86,15,304.53,396.65,Accessories,Professional,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5,Philips,1,Color,"Yellow, Purple, Gray",1,1,User Group,"Women, Unisex",1,0,80
104,simple,SKU68351,11-Speed Bike,1,0,,High-quality 11-speed bike designed for optimal performance and durability.,1,171,13,1177.88,1888.69,Bicycle,"Luxury, Bass",https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg,SoundSphere,1,Color,"Green, Gray, Yellow, Black",1,0,Capacity,"500ml, 1L, 2L, 1.5L",1,0,606
105,simple,SKU88160,Portable Camera Max,1,0,,High-quality portable camera max designed for optimal performance and durability.,1,65,6,235.98,289.72,Automotive,,https://images.pexels.com/photos/1232459/pexels-photo-1232459.jpeg,Brothers,1,,,,,,,,,108
106,simple,SKU40879,Vintage Style Chair,1,0,,High-quality vintage style chair designed for optimal performance and durability.,1,63,10,,693.91,Rocking Chair,Vintage,https://via.placeholder.com/700x700/008000/FFFFFF?text=New+Arrival,Samsung,1,Size,"12"", 26"", 28"", 24"", XXXL",1,0,,,,,578
107,variable,SKU11776,Modern Table Collection,1,0,,High-quality modern table collection designed for optimal performance and durability.,1,76,15,939.96,1464.64,Home & Garden,,https://images.unsplash.com/photo-1572635196237-14b3f281503f,Brothers,1,Color,"Purple, Black, Pink, Blue",1,0,,,,,78
108,variable,SKU72307,Wireless Smartwatch Pro,1,1,,High-quality wireless smartwatch pro designed for optimal performance and durability.,1,193,12,1168.14,1362.0,Accessories,"Hi-Fi, Luxury, Stereo",https://images.pexels.com/photos/3965557/pexels-photo-3965557.jpeg,Hatil,1,,,,,,,,,371
109,simple,SKU43577,9-Speed Bike,1,1,,High-quality 9-speed bike designed for optimal performance and durability.,1,113,19,785.3,1099.88,Bicycle,"Wireless, Hi-Fi",https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,Philips,1,Color,"Purple, White, Green, Brown",1,0,,,,,0
110,variable,SKU10262,Portable Tablet Max,1,1,,High-quality portable tablet max designed for optimal performance and durability.,1,166,6,,516.41,Office Supplies,"Premium, Luxury",https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg,KeyTech,1,Color,"Pink, Red, Black, Purple",1,0,User Group,"Adult, Unisex, Women, Kids",1,1,132
